question_id,question,category,topics,topic
72, What can go wrong if we use a linear activation instead of ReLU,Data Science,"Understanding of neural networks,activation functions,non-linearity",activation functions
72, What can go wrong if we use a linear activation instead of ReLU,Data Science,"Understanding of neural networks,activation functions,non-linearity",non-linearity
73," Give examples in which a many-to-one RNN architecture is appropriate, Give examples in which a many-to-one RNN architecture is appropriate",Data Science,"Understanding of RNN architectures, Application of RNN architectures",Understanding of RNN architectures
73," Give examples in which a many-to-one RNN architecture is appropriate, Give examples in which a many-to-one RNN architecture is appropriate",Data Science,"Understanding of RNN architectures, Application of RNN architectures", Application of RNN architectures
74, What is RNN and How does an RNN work,Data Science,"Knowledge of RNNs, understanding of RNN architecture",Knowledge of RNNs
74, What is RNN and How does an RNN work,Data Science,"Knowledge of RNNs, understanding of RNN architecture", understanding of RNN architecture
75, Why Sigmoid or Tanh is not preferred to be used as the activation function in the hidden layer of the neural network,Data Science,"Understanding of neural networks,Activation functions,Deep learning",Understanding of neural networks
75, Why Sigmoid or Tanh is not preferred to be used as the activation function in the hidden layer of the neural network,Data Science,"Understanding of neural networks,Activation functions,Deep learning",Activation functions
75, Why Sigmoid or Tanh is not preferred to be used as the activation function in the hidden layer of the neural network,Data Science,"Understanding of neural networks,Activation functions,Deep learning",Deep learning
76," difference between various Activation functions such as Sigmoid , tanh, Softmax, ReLU, Leaky ReLU",Data Science,"Knowledge of activation functions, understanding of neural networks",Knowledge of activation functions
76," difference between various Activation functions such as Sigmoid , tanh, Softmax, ReLU, Leaky ReLU",Data Science,"Knowledge of activation functions, understanding of neural networks", understanding of neural networks
77, Why Tanh activation function preferred over sigmoid,Data Science,"Understanding of activation functions, comparative analysis, reasoning",Understanding of activation functions
77, Why Tanh activation function preferred over sigmoid,Data Science,"Understanding of activation functions, comparative analysis, reasoning", comparative analysis
77, Why Tanh activation function preferred over sigmoid,Data Science,"Understanding of activation functions, comparative analysis, reasoning", reasoning
78, What are word embeddings Why are they useful,Data Science,"Understanding of word embeddings, Knowledge of NLP concepts",Understanding of word embeddings
78, What are word embeddings Why are they useful,Data Science,"Understanding of word embeddings, Knowledge of NLP concepts", Knowledge of NLP concepts
79, what is WordVec,Data Science,"Knowledge of NLP terminology,Vocabulary of machine learning",Knowledge of NLP terminology
79, what is WordVec,Data Science,"Knowledge of NLP terminology,Vocabulary of machine learning",Vocabulary of machine learning
80, What are some advantages of using character embeddings instead of word embeddings,Data Science,"Understanding of NLP concepts,Knowledge of word embeddings,Knowledge of character embeddings,Comparative analysis,Critical thinking",Understanding of NLP concepts
80, What are some advantages of using character embeddings instead of word embeddings,Data Science,"Understanding of NLP concepts,Knowledge of word embeddings,Knowledge of character embeddings,Comparative analysis,Critical thinking",Knowledge of word embeddings
80, What are some advantages of using character embeddings instead of word embeddings,Data Science,"Understanding of NLP concepts,Knowledge of word embeddings,Knowledge of character embeddings,Comparative analysis,Critical thinking",Knowledge of character embeddings
80, What are some advantages of using character embeddings instead of word embeddings,Data Science,"Understanding of NLP concepts,Knowledge of word embeddings,Knowledge of character embeddings,Comparative analysis,Critical thinking",Comparative analysis
80, What are some advantages of using character embeddings instead of word embeddings,Data Science,"Understanding of NLP concepts,Knowledge of word embeddings,Knowledge of character embeddings,Comparative analysis,Critical thinking",Critical thinking
81," How do you get sentence meanings from word embeddings, considering the position of words in the sentence",Data Science,"Natural Language Processing,Word Embeddings,Contextual Understanding,Sentence Embedding,Semantic Analysis",Natural Language Processing
81," How do you get sentence meanings from word embeddings, considering the position of words in the sentence",Data Science,"Natural Language Processing,Word Embeddings,Contextual Understanding,Sentence Embedding,Semantic Analysis",Word Embeddings
81," How do you get sentence meanings from word embeddings, considering the position of words in the sentence",Data Science,"Natural Language Processing,Word Embeddings,Contextual Understanding,Sentence Embedding,Semantic Analysis",Contextual Understanding
81," How do you get sentence meanings from word embeddings, considering the position of words in the sentence",Data Science,"Natural Language Processing,Word Embeddings,Contextual Understanding,Sentence Embedding,Semantic Analysis",Sentence Embedding
81," How do you get sentence meanings from word embeddings, considering the position of words in the sentence",Data Science,"Natural Language Processing,Word Embeddings,Contextual Understanding,Sentence Embedding,Semantic Analysis",Semantic Analysis
82, Would you prefer gradient boosting trees model or logistic regression when doing text classification with bag of words,Data Science,"Machine learning model selection,Model understanding,Text classification",Machine learning model selection
82, Would you prefer gradient boosting trees model or logistic regression when doing text classification with bag of words,Data Science,"Machine learning model selection,Model understanding,Text classification",Model understanding
82, Would you prefer gradient boosting trees model or logistic regression when doing text classification with bag of words,Data Science,"Machine learning model selection,Model understanding,Text classification",Text classification
83, What is bag of words How we can use it for text vectorization,Data Science,"Understanding of NLP concepts,Text vectorization techniques",Understanding of NLP concepts
83, What is bag of words How we can use it for text vectorization,Data Science,"Understanding of NLP concepts,Text vectorization techniques",Text vectorization techniques
84, What are the advantages and disadvantages of bag of words,Data Science,"Analysis, Comparison, Critical Thinking, Summarization",Analysis
84, What are the advantages and disadvantages of bag of words,Data Science,"Analysis, Comparison, Critical Thinking, Summarization", Comparison
84, What are the advantages and disadvantages of bag of words,Data Science,"Analysis, Comparison, Critical Thinking, Summarization", Critical Thinking
84, What are the advantages and disadvantages of bag of words,Data Science,"Analysis, Comparison, Critical Thinking, Summarization", Summarization
85, What is the main difference between Adam and SGD,Data Science,"Knowledge of optimization algorithms, understanding of gradient descent, comparison of algorithms",Knowledge of optimization algorithms
85, What is the main difference between Adam and SGD,Data Science,"Knowledge of optimization algorithms, understanding of gradient descent, comparison of algorithms", understanding of gradient descent
85, What is the main difference between Adam and SGD,Data Science,"Knowledge of optimization algorithms, understanding of gradient descent, comparison of algorithms", comparison of algorithms
86, What are the advantages and disadvantages of SGD over gradient descent,Data Science,"Understanding of optimization algorithms, comparative analysis, critical thinking",Understanding of optimization algorithms
86, What are the advantages and disadvantages of SGD over gradient descent,Data Science,"Understanding of optimization algorithms, comparative analysis, critical thinking", comparative analysis
86, What are the advantages and disadvantages of SGD over gradient descent,Data Science,"Understanding of optimization algorithms, comparative analysis, critical thinking", critical thinking
87," What is the difference between stochastic gradient descent SGD and gradient descent GD, Batch gradient descent, Stochastic gradient descent, Mini-batch gradient descent , what are the pros and cons for each of them",Data Science,"Knowledge of machine learning algorithms, understanding of gradient descent variants, comparative analysis, pros and cons analysis",Knowledge of machine learning algorithms
87," What is the difference between stochastic gradient descent SGD and gradient descent GD, Batch gradient descent, Stochastic gradient descent, Mini-batch gradient descent , what are the pros and cons for each of them",Data Science,"Knowledge of machine learning algorithms, understanding of gradient descent variants, comparative analysis, pros and cons analysis", understanding of gradient descent variants
87," What is the difference between stochastic gradient descent SGD and gradient descent GD, Batch gradient descent, Stochastic gradient descent, Mini-batch gradient descent , what are the pros and cons for each of them",Data Science,"Knowledge of machine learning algorithms, understanding of gradient descent variants, comparative analysis, pros and cons analysis", comparative analysis
87," What is the difference between stochastic gradient descent SGD and gradient descent GD, Batch gradient descent, Stochastic gradient descent, Mini-batch gradient descent , what are the pros and cons for each of them",Data Science,"Knowledge of machine learning algorithms, understanding of gradient descent variants, comparative analysis, pros and cons analysis", pros and cons analysis
88, When would you use GD over SDG and vice-versa,Data Science,"Knowledge of GD and SDG,  understanding of algorithm design principles, comparative analysis",Knowledge of GD and SDG
88, When would you use GD over SDG and vice-versa,Data Science,"Knowledge of GD and SDG,  understanding of algorithm design principles, comparative analysis",  understanding of algorithm design principles
88, When would you use GD over SDG and vice-versa,Data Science,"Knowledge of GD and SDG,  understanding of algorithm design principles, comparative analysis", comparative analysis
89, How would you choose the number of filters and the filter size at each CNN layer,Data Science,"Convolutional Neural Network (CNN) architecture design,Hyperparameter tuning,Understanding of CNN filter mechanisms",Convolutional Neural Network (CNN) architecture design
89, How would you choose the number of filters and the filter size at each CNN layer,Data Science,"Convolutional Neural Network (CNN) architecture design,Hyperparameter tuning,Understanding of CNN filter mechanisms",Hyperparameter tuning
89, How would you choose the number of filters and the filter size at each CNN layer,Data Science,"Convolutional Neural Network (CNN) architecture design,Hyperparameter tuning,Understanding of CNN filter mechanisms",Understanding of CNN filter mechanisms
90, How can we use CNN for text classification,Data Science,"Understanding of CNNs, Text processing, Deep learning fundamentals",Understanding of CNNs
90, How can we use CNN for text classification,Data Science,"Understanding of CNNs, Text processing, Deep learning fundamentals", Text processing
90, How can we use CNN for text classification,Data Science,"Understanding of CNNs, Text processing, Deep learning fundamentals", Deep learning fundamentals
91, What are some advantages in using a CNN (convolutional neural network rather than a DNN (dense neural network in an image classification task,Data Science,"Understanding of CNNs, Understanding of DNNs, Comparative analysis, Knowledge of image classification",Understanding of CNNs
91, What are some advantages in using a CNN (convolutional neural network rather than a DNN (dense neural network in an image classification task,Data Science,"Understanding of CNNs, Understanding of DNNs, Comparative analysis, Knowledge of image classification", Understanding of DNNs
91, What are some advantages in using a CNN (convolutional neural network rather than a DNN (dense neural network in an image classification task,Data Science,"Understanding of CNNs, Understanding of DNNs, Comparative analysis, Knowledge of image classification", Comparative analysis
91, What are some advantages in using a CNN (convolutional neural network rather than a DNN (dense neural network in an image classification task,Data Science,"Understanding of CNNs, Understanding of DNNs, Comparative analysis, Knowledge of image classification", Knowledge of image classification
92, Describe two ways to visualize features of a CNN in an image classification task,Data Science,"Visualization techniques,Understanding of CNNs,Communication skills",Visualization techniques
92, Describe two ways to visualize features of a CNN in an image classification task,Data Science,"Visualization techniques,Understanding of CNNs,Communication skills",Understanding of CNNs
92, Describe two ways to visualize features of a CNN in an image classification task,Data Science,"Visualization techniques,Understanding of CNNs,Communication skills",Communication skills
93, Why do segmentation CNNs typically have an encoder-decoder style / structure,Data Science,"Understanding of CNN architectures,Knowledge of image segmentation,Understanding of encoder-decoder networks",Understanding of CNN architectures
93, Why do segmentation CNNs typically have an encoder-decoder style / structure,Data Science,"Understanding of CNN architectures,Knowledge of image segmentation,Understanding of encoder-decoder networks",Knowledge of image segmentation
93, Why do segmentation CNNs typically have an encoder-decoder style / structure,Data Science,"Understanding of CNN architectures,Knowledge of image segmentation,Understanding of encoder-decoder networks",Understanding of encoder-decoder networks
94, What is a convolutional layer & Why do we actually need convolutions Can we use fully-connected layers for that,Data Science,"Understanding of convolutional neural networks, knowledge of image processing, understanding of fully connected layers, comparative analysis",Understanding of convolutional neural networks
94, What is a convolutional layer & Why do we actually need convolutions Can we use fully-connected layers for that,Data Science,"Understanding of convolutional neural networks, knowledge of image processing, understanding of fully connected layers, comparative analysis", knowledge of image processing
94, What is a convolutional layer & Why do we actually need convolutions Can we use fully-connected layers for that,Data Science,"Understanding of convolutional neural networks, knowledge of image processing, understanding of fully connected layers, comparative analysis", understanding of fully connected layers
94, What is a convolutional layer & Why do we actually need convolutions Can we use fully-connected layers for that,Data Science,"Understanding of convolutional neural networks, knowledge of image processing, understanding of fully connected layers, comparative analysis", comparative analysis
95, What are the advantages of parameter sharing in case of convolution,Data Science,"Understanding of convolutional neural networks,Understanding of parameter sharing in CNNs,Analytical skills",Understanding of convolutional neural networks
95, What are the advantages of parameter sharing in case of convolution,Data Science,"Understanding of convolutional neural networks,Understanding of parameter sharing in CNNs,Analytical skills",Understanding of parameter sharing in CNNs
95, What are the advantages of parameter sharing in case of convolution,Data Science,"Understanding of convolutional neural networks,Understanding of parameter sharing in CNNs,Analytical skills",Analytical skills
96, Why do we use convolutions for images rather than just Fully Connected layers,Data Science,"Understanding of convolutional neural networks, understanding of fully connected layers, understanding of image data characteristics, comparative analysis, reasoning ability",Understanding of convolutional neural networks
96, Why do we use convolutions for images rather than just Fully Connected layers,Data Science,"Understanding of convolutional neural networks, understanding of fully connected layers, understanding of image data characteristics, comparative analysis, reasoning ability", understanding of fully connected layers
96, Why do we use convolutions for images rather than just Fully Connected layers,Data Science,"Understanding of convolutional neural networks, understanding of fully connected layers, understanding of image data characteristics, comparative analysis, reasoning ability", understanding of image data characteristics
96, Why do we use convolutions for images rather than just Fully Connected layers,Data Science,"Understanding of convolutional neural networks, understanding of fully connected layers, understanding of image data characteristics, comparative analysis, reasoning ability", comparative analysis
96, Why do we use convolutions for images rather than just Fully Connected layers,Data Science,"Understanding of convolutional neural networks, understanding of fully connected layers, understanding of image data characteristics, comparative analysis, reasoning ability", reasoning ability
97, Why would you use many small convolutional kernels such as x rather than a few large onesWhy would you use many small convolutional kernels such as x rather than a few large ones,Data Science,"Understanding of convolutional neural networks, understanding of receptive fields, knowledge of computational cost and efficiency, ability to analyze tradeoffs in CNN architecture",Understanding of convolutional neural networks
97, Why would you use many small convolutional kernels such as x rather than a few large onesWhy would you use many small convolutional kernels such as x rather than a few large ones,Data Science,"Understanding of convolutional neural networks, understanding of receptive fields, knowledge of computational cost and efficiency, ability to analyze tradeoffs in CNN architecture", understanding of receptive fields
97, Why would you use many small convolutional kernels such as x rather than a few large onesWhy would you use many small convolutional kernels such as x rather than a few large ones,Data Science,"Understanding of convolutional neural networks, understanding of receptive fields, knowledge of computational cost and efficiency, ability to analyze tradeoffs in CNN architecture", knowledge of computational cost and efficiency
97, Why would you use many small convolutional kernels such as x rather than a few large onesWhy would you use many small convolutional kernels such as x rather than a few large ones,Data Science,"Understanding of convolutional neural networks, understanding of receptive fields, knowledge of computational cost and efficiency, ability to analyze tradeoffs in CNN architecture", ability to analyze tradeoffs in CNN architecture
98, Why we generally use Softmax non-linearity function as the last operation in-network,Data Science,"Understanding of neural networks,Understanding of activation functions,Knowledge of softmax function,Understanding of classification problems",Understanding of neural networks
98, Why we generally use Softmax non-linearity function as the last operation in-network,Data Science,"Understanding of neural networks,Understanding of activation functions,Knowledge of softmax function,Understanding of classification problems",Understanding of activation functions
98, Why we generally use Softmax non-linearity function as the last operation in-network,Data Science,"Understanding of neural networks,Understanding of activation functions,Knowledge of softmax function,Understanding of classification problems",Knowledge of softmax function
98, Why we generally use Softmax non-linearity function as the last operation in-network,Data Science,"Understanding of neural networks,Understanding of activation functions,Knowledge of softmax function,Understanding of classification problems",Understanding of classification problems
99, How does BatchNormalization differ in training and inferencing,Data Science,"Understanding of Batch Normalization, Knowledge of Deep Learning,  Understanding of Training and Inference Processes",Understanding of Batch Normalization
99, How does BatchNormalization differ in training and inferencing,Data Science,"Understanding of Batch Normalization, Knowledge of Deep Learning,  Understanding of Training and Inference Processes", Knowledge of Deep Learning
99, How does BatchNormalization differ in training and inferencing,Data Science,"Understanding of Batch Normalization, Knowledge of Deep Learning,  Understanding of Training and Inference Processes",  Understanding of Training and Inference Processes
100, How does batch size affect training of neural networks,Data Science,"Understanding of neural network training, knowledge of hyperparameter tuning,  problem-solving",Understanding of neural network training
100, How does batch size affect training of neural networks,Data Science,"Understanding of neural network training, knowledge of hyperparameter tuning,  problem-solving", knowledge of hyperparameter tuning
100, How does batch size affect training of neural networks,Data Science,"Understanding of neural network training, knowledge of hyperparameter tuning,  problem-solving",  problem-solving
101," When using mini batch gradient descent, why is it important to shuffle the data",Data Science,"Understanding of mini-batch gradient descent, understanding of data shuffling, ability to explain the rationale behind a machine learning technique",Understanding of mini-batch gradient descent
101," When using mini batch gradient descent, why is it important to shuffle the data",Data Science,"Understanding of mini-batch gradient descent, understanding of data shuffling, ability to explain the rationale behind a machine learning technique", understanding of data shuffling
101," When using mini batch gradient descent, why is it important to shuffle the data",Data Science,"Understanding of mini-batch gradient descent, understanding of data shuffling, ability to explain the rationale behind a machine learning technique", ability to explain the rationale behind a machine learning technique
102, Give a simple mathematical argument why a mini-batch version of such ML algorithm might be computationally more efficient than a training with full data set,Data Science,"Mathematical reasoning,Computational complexity analysis,Algorithm understanding",Mathematical reasoning
102, Give a simple mathematical argument why a mini-batch version of such ML algorithm might be computationally more efficient than a training with full data set,Data Science,"Mathematical reasoning,Computational complexity analysis,Algorithm understanding",Computational complexity analysis
102, Give a simple mathematical argument why a mini-batch version of such ML algorithm might be computationally more efficient than a training with full data set,Data Science,"Mathematical reasoning,Computational complexity analysis,Algorithm understanding",Algorithm understanding
103, On a simplified and fundamental scale what makes the newly developed BERT model better than traditional NLP models,Data Science,"Knowledge of NLP models,Understanding of BERT architecture,Comparative analysis,Critical thinking",Knowledge of NLP models
103, On a simplified and fundamental scale what makes the newly developed BERT model better than traditional NLP models,Data Science,"Knowledge of NLP models,Understanding of BERT architecture,Comparative analysis,Critical thinking",Understanding of BERT architecture
103, On a simplified and fundamental scale what makes the newly developed BERT model better than traditional NLP models,Data Science,"Knowledge of NLP models,Understanding of BERT architecture,Comparative analysis,Critical thinking",Comparative analysis
103, On a simplified and fundamental scale what makes the newly developed BERT model better than traditional NLP models,Data Science,"Knowledge of NLP models,Understanding of BERT architecture,Comparative analysis,Critical thinking",Critical thinking
104, How would you initialize weights in a neural network,Data Science,"Neural network architecture,Weight initialization techniques,Understanding of deep learning",Neural network architecture
104, How would you initialize weights in a neural network,Data Science,"Neural network architecture,Weight initialization techniques,Understanding of deep learning",Weight initialization techniques
104, How would you initialize weights in a neural network,Data Science,"Neural network architecture,Weight initialization techniques,Understanding of deep learning",Understanding of deep learning
105, Why weights are initialized with small random numbers in a neural network What happens when weights are all or constant values,Data Science,"Understanding of neural network architecture,Understanding of weight initialization techniques,Understanding of backpropagation",Understanding of neural network architecture
105, Why weights are initialized with small random numbers in a neural network What happens when weights are all or constant values,Data Science,"Understanding of neural network architecture,Understanding of weight initialization techniques,Understanding of backpropagation",Understanding of weight initialization techniques
105, Why weights are initialized with small random numbers in a neural network What happens when weights are all or constant values,Data Science,"Understanding of neural network architecture,Understanding of weight initialization techniques,Understanding of backpropagation",Understanding of backpropagation
106, Suppose you have a NN with layers and ReLU activations What will happen if we initialize all the weights with the same value,Data Science,"Understanding of neural network training dynamics,Understanding of weight initialization,Knowledge of ReLU activation function",Understanding of neural network training dynamics
106, Suppose you have a NN with layers and ReLU activations What will happen if we initialize all the weights with the same value,Data Science,"Understanding of neural network training dynamics,Understanding of weight initialization,Knowledge of ReLU activation function",Understanding of weight initialization
106, Suppose you have a NN with layers and ReLU activations What will happen if we initialize all the weights with the same value,Data Science,"Understanding of neural network training dynamics,Understanding of weight initialization,Knowledge of ReLU activation function",Knowledge of ReLU activation function
107, What is backpropagation How does it work Why do we need it,Data Science,"Understanding of backpropagation, Explanatory skills, Knowledge application",Understanding of backpropagation
107, What is backpropagation How does it work Why do we need it,Data Science,"Understanding of backpropagation, Explanatory skills, Knowledge application", Explanatory skills
107, What is backpropagation How does it work Why do we need it,Data Science,"Understanding of backpropagation, Explanatory skills, Knowledge application", Knowledge application
108, Why large filter sizes in early layers can be a bad choice How to choose filter size,Data Science,"Understanding of convolutional neural networks, critical thinking, problem-solving",Understanding of convolutional neural networks
108, Why large filter sizes in early layers can be a bad choice How to choose filter size,Data Science,"Understanding of convolutional neural networks, critical thinking, problem-solving", critical thinking
108, Why large filter sizes in early layers can be a bad choice How to choose filter size,Data Science,"Understanding of convolutional neural networks, critical thinking, problem-solving", problem-solving
109, which one is more powerful a layer decision tree or a -layer neural network without any activation function --> Hint non-linearity,Data Science,"Understanding of machine learning models,  knowledge of decision trees, knowledge of neural networks, understanding of activation functions, ability to compare model capabilities",Understanding of machine learning models
109, which one is more powerful a layer decision tree or a -layer neural network without any activation function --> Hint non-linearity,Data Science,"Understanding of machine learning models,  knowledge of decision trees, knowledge of neural networks, understanding of activation functions, ability to compare model capabilities",  knowledge of decision trees
109, which one is more powerful a layer decision tree or a -layer neural network without any activation function --> Hint non-linearity,Data Science,"Understanding of machine learning models,  knowledge of decision trees, knowledge of neural networks, understanding of activation functions, ability to compare model capabilities", knowledge of neural networks
109, which one is more powerful a layer decision tree or a -layer neural network without any activation function --> Hint non-linearity,Data Science,"Understanding of machine learning models,  knowledge of decision trees, knowledge of neural networks, understanding of activation functions, ability to compare model capabilities", understanding of activation functions
109, which one is more powerful a layer decision tree or a -layer neural network without any activation function --> Hint non-linearity,Data Science,"Understanding of machine learning models,  knowledge of decision trees, knowledge of neural networks, understanding of activation functions, ability to compare model capabilities", ability to compare model capabilities
110, Both decision trees and deep neural networks are non-linear classifier ie they separates the space by complicated decision boundary Why then it is so much easier for us to intuitively follow a decision tree model vs a deep neural network,Data Science,"Critical thinking, comparative analysis, understanding of machine learning models, model interpretability",Critical thinking
110, Both decision trees and deep neural networks are non-linear classifier ie they separates the space by complicated decision boundary Why then it is so much easier for us to intuitively follow a decision tree model vs a deep neural network,Data Science,"Critical thinking, comparative analysis, understanding of machine learning models, model interpretability", comparative analysis
110, Both decision trees and deep neural networks are non-linear classifier ie they separates the space by complicated decision boundary Why then it is so much easier for us to intuitively follow a decision tree model vs a deep neural network,Data Science,"Critical thinking, comparative analysis, understanding of machine learning models, model interpretability", understanding of machine learning models
110, Both decision trees and deep neural networks are non-linear classifier ie they separates the space by complicated decision boundary Why then it is so much easier for us to intuitively follow a decision tree model vs a deep neural network,Data Science,"Critical thinking, comparative analysis, understanding of machine learning models, model interpretability", model interpretability
111, If you could take advantage of multiple CPU cores would you prefer a boosted-tree algorithm over a random forest,Data Science,"Understanding of machine learning algorithms,Parallel processing,Algorithm efficiency",Understanding of machine learning algorithms
111, If you could take advantage of multiple CPU cores would you prefer a boosted-tree algorithm over a random forest,Data Science,"Understanding of machine learning algorithms,Parallel processing,Algorithm efficiency",Parallel processing
111, If you could take advantage of multiple CPU cores would you prefer a boosted-tree algorithm over a random forest,Data Science,"Understanding of machine learning algorithms,Parallel processing,Algorithm efficiency",Algorithm efficiency
