question_id,question,category,topics
112,What are your strengths?,General,"Self-awareness, communication, self-promotion"
113,What are your weaknesses?,General,"Self-awareness, honesty, self-reflection, communication"
114,Why are you interested in working for [insert company name here]?,General,"Research skills, Communication skills, Persuasion skills, Self-awareness"
115,Where do you see yourself in five years? Ten years?,General,"Career planning, foresight, self-awareness, long-term goals, ambition"
116,Why do you want to leave your current company?,General,"Communication skills, self-awareness, critical thinking, problem-solving"
117,Why was there a gap in your employment between [insert date] and [insert date]?,General,"Communication skills, Honesty,  Problem-solving skills,  Self-awareness"
118,What can you offer us that someone else can not?,General,"Self-promotion, differentiation, unique selling proposition, persuasive communication, concise communication"
119,What are three things your former manager would like you to improve on?,General,"Self-awareness, self-reflection, honesty, critical thinking"
120,Are you willing to relocate?,General,"Adaptability, Willingness to relocate, Communication skills"
121,Are you willing to travel? *(Post COVID-19),General,"Flexibility, Adaptability, Willingness to relocate"
122,Tell me about an accomplishment you are most proud of.,General,"Communication skills, storytelling skills, self-reflection, critical thinking"
123,Tell me about a time you made a mistake.,General,"Communication skills, self-reflection, storytelling, critical thinking"
124,What is your dream job?,General,"Communication skills, Self-awareness, Career planning, Goal setting"
125,How did you hear about this position?,General,"Communication skills, Interpersonal skills"
126,What would you look to accomplish in the first 30 days/60 days/90 days on the job?,General,"Planning, Goal-setting, Prioritization, Time-management, Strategic thinking"
127,Discuss your resume.,General,"Communication skills, self-awareness, critical thinking, narrative skills"
128,Discuss your educational background.,General,"Communication skills, Self-reflection, Organization skills"
129,Describe yourself.,General,"Self-awareness, communication, articulation, self-reflection"
130,Tell me how you handled a difficult situation.,General,"Problem-solving, communication, critical thinking, storytelling, self-awareness"
131,Why should we hire you?,General,"Communication skills, Persuasion skills, Self-awareness, Self-promotion, Problem-solving skills"
132,Why are you looking for a new job?,General,"Communication skills, Self-awareness,  Problem-solving skills,  Critical thinking"
133,Would you work holidays/weekends?,General,"Flexibility,Availability,Commitment"
134,How would you deal with an angry or irate customer?,General,"Conflict resolution, customer service, communication, empathy, problem-solving"
135,"What are your salary requirements? (Hint: if you’re not sure what constitutes a fair salary range and compensation package, research the job title and/or company on Glassdoor.)",General,"Research skills, Negotiation skills, Self-awareness, Financial literacy"
136,Give a time when you went above and beyond the requirements for a project.,General,"Problem-solving, Storytelling, Self-awareness,  Communication"
137,Who are our competitors?,General,"Market analysis, competitive analysis, industry knowledge"
138,What was your biggest failure?,General,"Self-awareness, self-reflection, communication, storytelling, problem-solving"
139,What motivates you?,General,"Self-awareness, communication, introspection"
140,What’s your availability?,General,"Communication skills, Interpersonal skills"
141,Who’s your mentor?,General,"Communication skills, Interpersonal skills, Self-awareness"
142,Tell me about a time when you disagreed with your boss.,General,"Conflict resolution, communication, diplomacy, critical thinking, self-awareness, storytelling"
143,How do you handle pressure?,General,"Stress management, self-awareness, communication skills, problem-solving skills"
144,What is the name of our CEO?,General,Memory recall
145,What are your career goals?,General,"Communication skills, Self-awareness, Goal setting, Planning skills"
146,What gets you up in the morning?,General,"Communication skills, Self-awareness, Motivation, Goal-setting"
147,What would your direct reports say about you?,General,"Self-awareness, self-reflection, empathy, perspective-taking"
148,What were your bosses’ strengths/weaknesses?,General,"Critical thinking, communication, observation, self-awareness"
149,"If I called your boss right now and asked him/her what is an area that you could improve on, what would he/she say?",General,"Self-awareness, self-assessment, honesty, critical thinking,  communication skills"
150,Are you a leader or a follower?,General,"Self-awareness, self-assessment, introspection"
151,What was the last book you read for fun?,General,Memory recall
152,What are your co-worker pet peeves?,General,"Self-awareness, interpersonal skills, conflict resolution skills"
153,What are your hobbies?,General,"Communication skills, Self-awareness, Interpersonal skills"
154,What is your favorite website?,General,"Personal preference,Opinion expression"
155,What makes you uncomfortable?,General,"Self-awareness, honesty, vulnerability, communication"
156,What are some of your leadership experiences / What is your leadership style?,General,"Leadership experience,Leadership style,Communication skills,Self-reflection"
157,How would you fire someone?,General,"Communication skills, interpersonal skills, conflict resolution skills, empathy, decision-making skills, legal awareness"
158,What do you like the most and least about working in this industry?,General,"Self-awareness, critical thinking, communication skills, reflection"
159,Would you work 40+ hours a week?,General,"Communication skills, Honesty, Work ethic"
160,What questions haven’t I asked you?,General,"Metacognition, self-reflection, critical thinking"
161,What questions do you have for me?,General,"Communication skills, Inquiry skills, Critical thinking skills"
1, What is padding,Data Science,"Understanding of terminology, basic computer science concepts"
2, Sigmoid Vs Softmax,Data Science,"Understanding of activation functions,machine learning,deep learning,classification"
3, What is PoS Tagging,Data Science,"Vocabulary,Knowledge Recall"
4, What is tokenization,Data Science,Understanding of NLP concepts
5, What is topic modeling,Data Science,"Information retrieval, Knowledge comprehension"
6, What is back propagation,Data Science,"Understanding of neural networks,Knowledge of deep learning algorithms"
7, What is the idea behind GANs,Data Science,"Knowledge recall, comprehension"
8, What is the Computational Graph,Data Science,"Understanding of machine learning concepts,Knowledge of deep learning fundamentals"
9, What is sigmoid What does it do,Data Science,"Knowledge of definitions, Understanding of functions"
10, What is Named-Entity Recognition,Data Science,"Knowledge of NLP terminology,Information retrieval"
11, Explain the masked language model,Data Science,"Explanation ability, Summarization, Knowledge of NLP concepts"
12, How do you preprocess text in NLP,Data Science,"Natural Language Processing (NLP) knowledge, Text preprocessing techniques"
13, How do you extract features in NLP,Data Science,"Natural Language Processing (NLP),Feature Extraction"
14, How is wordvec different from Glove,Data Science,"Knowledge of word embeddings, comparative analysis, understanding of NLP models"
15, What Are the Different Layers on CNN,Data Science,"Knowledge of Convolutional Neural Networks,Understanding of CNN architecture"
16, What makes CNNs translation invariant,Data Science,"Understanding of Convolutional Neural Networks, Knowledge of CNN architectures, Understanding of translation invariance"
17, How is fastText different from wordvec,Data Science,"Knowledge of word embeddings, understanding of NLP models"
18, Explain Generative Adversarial Network,Data Science,"Knowledge of GANs,  Explanation skills,  Understanding of complex concepts"
19, What is backward and forward propagation,Data Science,"Understanding of neural networks,Knowledge of backpropagation algorithm,Knowledge of forward propagation"
20, What are Syntactic and Semantic Analysis,Data Science,"Knowledge of programming language concepts,Understanding of compiler design"
21, What is a local optimumWhat is a local optimum,Data Science,"Understanding of optimization concepts,Knowledge of local vs. global optima"
22, Explain gates used in LSTM with their functions,Data Science,"Understanding of LSTM architecture, knowledge of gate mechanisms, explanation skills"
23, What is ReLU How is it better than sigmoid or tanh,Data Science,"Knowledge of neural networks, understanding of activation functions, comparative analysis"
24, What is transfer learning have you used it before,Data Science,"Experience,Knowledge application"
25, What is multi-task learning When should it be used,Data Science,"Knowledge comprehension, application"
26, Difference between convex and non-convex cost function,Data Science,"Understanding of optimization concepts,Knowledge of cost functions,Ability to compare and contrast"
27, Why do we remove stop words When do we not remove them,Data Science,"Information retrieval, natural language processing, text processing, understanding of NLP techniques, critical thinking"
28, Explain the difference between an epoch a batch and an iteration,Data Science,"Understanding of machine learning terminology, comprehension, explanation skills"
29, What is the difference between NLP and NLU,Data Science,"Knowledge of NLP, Knowledge of NLU, Comparative analysis"
30, For online learning which one would you prefer SGD or Adagrad and why,Data Science,"Machine learning algorithm selection, understanding of optimization algorithms, comparative analysis, justification/reasoning"
31, What Is a Multi-layer Perceptron MLPWhat Is a Multi-layer Perceptron MLP,Data Science,"Knowledge of neural networks, understanding of MLP architecture"
32, Is it always bad to have local optimaIs it always bad to have local optima,Data Science,"Critical thinking, Problem-solving, Analytical skills"
33," In node2vec, what does embedding represent topological similarity or nearness",Data Science,"Understanding of node2vec, Graph Embedding"
34, What do you understand by Boltzmann Machine and Restricted Boltzmann Machines,Data Science,"Knowledge of Boltzmann Machines, Knowledge of Restricted Boltzmann Machines, Understanding of Machine Learning concepts"
35, How to compute an inverse matrix faster by playing around with some computational tricks,Data Science,"Linear algebra,Matrix operations,Computational efficiency,Algorithm optimization"
36, For infrequent/rare words which among CBOW and SkipGram should be used for wordvec training,Data Science,"Understanding of word embedding techniques,Knowledge of CBOW and Skip-gram models,Ability to compare and contrast machine learning algorithms"
37, What is pooling in CNN Why do we need it,Data Science,"Understanding of Convolutional Neural Networks (CNNs), Knowledge of pooling layers in CNNs, Comprehension of the purpose of pooling in CNNs"
38, Describe the structure of Artificial Neural Networks & RNN(recurrent neural network),Data Science,"Knowledge of neural networks,Knowledge of RNNs,Descriptive writing"
39, How to Select a Batch Size Will selecting a batch size produce better or worse results?,Data Science,"Problem-solving, critical thinking, understanding of machine learning concepts"
40, What are N-grams How can we use them,Data Science,"Understanding of NLP concepts,Text analysis,Natural language processing"
41, How large should be N for our bag of words when using N-grams,Data Science,"Problem-solving,Critical thinking,Understanding of N-grams,NLP fundamentals"
42, How can you use neural nets for text classification and computer vision,Data Science,"Understanding of neural networks,Knowledge of text classification,Knowledge of computer vision"
43, Do gradient descent methods always converge at the same point,Data Science,"Understanding of gradient descent, analytical thinking, knowledge of optimization algorithms"
44, What is gradient descent How does it work,Data Science,"Understanding of algorithms,Knowledge of optimization techniques"
45, What are autoencoders Explain the different layers of autoencoders and mention three practical usages of them,Data Science,"Knowledge of autoencoders, Understanding of autoencoder architecture, Application of autoencoders"
46, What is vanishing gradient descent,Data Science,"Knowledge of deep learning concepts, understanding of gradient descent algorithms"
47, difference between Vanishing gradient Vs Exploding gradient,Data Science,"Understanding of deep learning concepts,Knowledge of gradient descent,Problem-solving"
48, How to handle dying node problems in case of ReLU activation function,Data Science,"Understanding of neural networks,Debugging,Troubleshooting,Knowledge of activation functions"
49, What is the use of the leaky ReLU function,Data Science,"Knowledge of neural networks, understanding of activation functions"
50, What are the different Deep Learning Frameworks,Data Science,Knowledge of Deep Learning Frameworks
51, What is the difference between machine learning and deep learning,Data Science,"Knowledge of machine learning,Knowledge of deep learning,Understanding of fundamental differences between ML and DL"
52, What is a dropout layer and how does it help a neural network,Data Science,"Understanding of neural networks,Knowledge of regularization techniques"
53, Explain why dropout in a neural network acts as a regularizer,Data Science,"Understanding of neural networks,Regularization techniques,Understanding of overfitting"
54, How to know whether your model is suffering from the problem of Exploding Gradients,Data Science,"Understanding of neural network training, diagnosis of training problems, debugging"
55, How to handle exploding gradient problem,Data Science,"Deep learning,Gradient descent optimization,Debugging,Problem-solving"
56, How Does an LSTM Network Work,Data Science,"Understanding of neural networks,Understanding of recurrent neural networks,Understanding of LSTM architecture,Knowledge of sequence modeling"
57, What problem does Bi-LSTM solve instead of only LSTM,Data Science,"Understanding of LSTMs, Understanding of Bi-LSTMs, Comparative analysis,  Problem-solving"
58, What is the difference between LSTM and GRU,Data Science,"Knowledge of deep learning architectures, understanding of recurrent neural networks"
59, What happens to the predictions of a CNN if an image is rotated,Data Science,"Understanding of CNNs, Image Rotation Invariance,  Spatial Reasoning"
60, How does CNN help in translation and rotation invariance of images,Data Science,"Understanding of Convolutional Neural Networks (CNNs), image processing, translation invariance, rotation invariance"
61, Define Term Freuency & Inverse Document Freuency Tf-idf and how to use it for converting text to vector,Data Science,"Definition skills,Understanding of TF-IDF,Text vectorization"
62, What are three primary convolutional neural network layers How are they commonly put together,Data Science,"Knowledge of convolutional neural networks, understanding of CNN architecture"
63, Describe the architecture of a typical Convolutional Neural Network,Data Science,"Knowledge of CNN architecture, understanding of convolutional layers, understanding of pooling layers, understanding of fully connected layers, ability to explain neural network concepts"
64," What do you mean by Dropout and Batch Normalization, When and why use",Data Science,"Deep learning knowledge, understanding of regularization techniques, understanding of normalization techniques"
65, What is the difference between online and batch learning,Data Science,"Machine learning concepts,Understanding of different learning paradigms"
66, Is dropout used on the test set,Data Science,"Understanding of machine learning terminology,Knowledge of model evaluation"
67, What is an activation function and discuss the use of an activation function,Data Science,"Understanding of neural networks,Knowledge of activation functions,Explanatory skills"
68, Explain three different types of activation functions,Data Science,"Knowledge of activation functions, Understanding of neural networks, Explanatory skills"
69, What is the range of activation functions,Data Science,"Knowledge of activation functions, Understanding of neural networks"
70, Why is Rectified Linear Unit a good activation function,Data Science,"Understanding of activation functions,Knowledge of neural networks,Comparative analysis,Problem-solving"
71, Why don't we use the Relu activation function in the output layer,Data Science,"Understanding of neural networks,Understanding of activation functions,Problem-solving,Critical thinking"
72, What can go wrong if we use a linear activation instead of ReLU,Data Science,"Understanding of neural networks,activation functions,non-linearity"
73," Give examples in which a many-to-one RNN architecture is appropriate, Give examples in which a many-to-one RNN architecture is appropriate",Data Science,"Understanding of RNN architectures, Application of RNN architectures"
74, What is RNN and How does an RNN work,Data Science,"Knowledge of RNNs, understanding of RNN architecture"
75, Why Sigmoid or Tanh is not preferred to be used as the activation function in the hidden layer of the neural network,Data Science,"Understanding of neural networks,Activation functions,Deep learning"
76," difference between various Activation functions such as Sigmoid , tanh, Softmax, ReLU, Leaky ReLU",Data Science,"Knowledge of activation functions, understanding of neural networks"
77, Why Tanh activation function preferred over sigmoid,Data Science,"Understanding of activation functions, comparative analysis, reasoning"
78, What are word embeddings Why are they useful,Data Science,"Understanding of word embeddings, Knowledge of NLP concepts"
79, what is WordVec,Data Science,"Knowledge of NLP terminology,Vocabulary of machine learning"
80, What are some advantages of using character embeddings instead of word embeddings,Data Science,"Understanding of NLP concepts,Knowledge of word embeddings,Knowledge of character embeddings,Comparative analysis,Critical thinking"
81," How do you get sentence meanings from word embeddings, considering the position of words in the sentence",Data Science,"Natural Language Processing,Word Embeddings,Contextual Understanding,Sentence Embedding,Semantic Analysis"
82, Would you prefer gradient boosting trees model or logistic regression when doing text classification with bag of words,Data Science,"Machine learning model selection,Model understanding,Text classification"
83, What is bag of words How we can use it for text vectorization,Data Science,"Understanding of NLP concepts,Text vectorization techniques"
84, What are the advantages and disadvantages of bag of words,Data Science,"Analysis, Comparison, Critical Thinking, Summarization"
85, What is the main difference between Adam and SGD,Data Science,"Knowledge of optimization algorithms, understanding of gradient descent, comparison of algorithms"
86, What are the advantages and disadvantages of SGD over gradient descent,Data Science,"Understanding of optimization algorithms, comparative analysis, critical thinking"
87," What is the difference between stochastic gradient descent SGD and gradient descent GD, Batch gradient descent, Stochastic gradient descent, Mini-batch gradient descent , what are the pros and cons for each of them",Data Science,"Knowledge of machine learning algorithms, understanding of gradient descent variants, comparative analysis, pros and cons analysis"
88, When would you use GD over SDG and vice-versa,Data Science,"Knowledge of GD and SDG,  understanding of algorithm design principles, comparative analysis"
89, How would you choose the number of filters and the filter size at each CNN layer,Data Science,"Convolutional Neural Network (CNN) architecture design,Hyperparameter tuning,Understanding of CNN filter mechanisms"
90, How can we use CNN for text classification,Data Science,"Understanding of CNNs, Text processing, Deep learning fundamentals"
91, What are some advantages in using a CNN (convolutional neural network rather than a DNN (dense neural network in an image classification task,Data Science,"Understanding of CNNs, Understanding of DNNs, Comparative analysis, Knowledge of image classification"
92, Describe two ways to visualize features of a CNN in an image classification task,Data Science,"Visualization techniques,Understanding of CNNs,Communication skills"
93, Why do segmentation CNNs typically have an encoder-decoder style / structure,Data Science,"Understanding of CNN architectures,Knowledge of image segmentation,Understanding of encoder-decoder networks"
94, What is a convolutional layer & Why do we actually need convolutions Can we use fully-connected layers for that,Data Science,"Understanding of convolutional neural networks, knowledge of image processing, understanding of fully connected layers, comparative analysis"
95, What are the advantages of parameter sharing in case of convolution,Data Science,"Understanding of convolutional neural networks,Understanding of parameter sharing in CNNs,Analytical skills"
96, Why do we use convolutions for images rather than just Fully Connected layers,Data Science,"Understanding of convolutional neural networks, understanding of fully connected layers, understanding of image data characteristics, comparative analysis, reasoning ability"
97, Why would you use many small convolutional kernels such as x rather than a few large onesWhy would you use many small convolutional kernels such as x rather than a few large ones,Data Science,"Understanding of convolutional neural networks, understanding of receptive fields, knowledge of computational cost and efficiency, ability to analyze tradeoffs in CNN architecture"
98, Why we generally use Softmax non-linearity function as the last operation in-network,Data Science,"Understanding of neural networks,Understanding of activation functions,Knowledge of softmax function,Understanding of classification problems"
99, How does BatchNormalization differ in training and inferencing,Data Science,"Understanding of Batch Normalization, Knowledge of Deep Learning,  Understanding of Training and Inference Processes"
100, How does batch size affect training of neural networks,Data Science,"Understanding of neural network training, knowledge of hyperparameter tuning,  problem-solving"
101," When using mini batch gradient descent, why is it important to shuffle the data",Data Science,"Understanding of mini-batch gradient descent, understanding of data shuffling, ability to explain the rationale behind a machine learning technique"
102, Give a simple mathematical argument why a mini-batch version of such ML algorithm might be computationally more efficient than a training with full data set,Data Science,"Mathematical reasoning,Computational complexity analysis,Algorithm understanding"
103, On a simplified and fundamental scale what makes the newly developed BERT model better than traditional NLP models,Data Science,"Knowledge of NLP models,Understanding of BERT architecture,Comparative analysis,Critical thinking"
104, How would you initialize weights in a neural network,Data Science,"Neural network architecture,Weight initialization techniques,Understanding of deep learning"
105, Why weights are initialized with small random numbers in a neural network What happens when weights are all or constant values,Data Science,"Understanding of neural network architecture,Understanding of weight initialization techniques,Understanding of backpropagation"
106, Suppose you have a NN with layers and ReLU activations What will happen if we initialize all the weights with the same value,Data Science,"Understanding of neural network training dynamics,Understanding of weight initialization,Knowledge of ReLU activation function"
107, What is backpropagation How does it work Why do we need it,Data Science,"Understanding of backpropagation, Explanatory skills, Knowledge application"
108, Why large filter sizes in early layers can be a bad choice How to choose filter size,Data Science,"Understanding of convolutional neural networks, critical thinking, problem-solving"
109, which one is more powerful a layer decision tree or a -layer neural network without any activation function --> Hint non-linearity,Data Science,"Understanding of machine learning models,  knowledge of decision trees, knowledge of neural networks, understanding of activation functions, ability to compare model capabilities"
110, Both decision trees and deep neural networks are non-linear classifier ie they separates the space by complicated decision boundary Why then it is so much easier for us to intuitively follow a decision tree model vs a deep neural network,Data Science,"Critical thinking, comparative analysis, understanding of machine learning models, model interpretability"
111, If you could take advantage of multiple CPU cores would you prefer a boosted-tree algorithm over a random forest,Data Science,"Understanding of machine learning algorithms,Parallel processing,Algorithm efficiency"
